signup_date,termination_date,membership_cost
2014-01-31,2014-04-06,1436.0
2014-01-25,2014-04-06,1604.0
2014-01-28,2014-03-18,946.0
2014-01-05,2014-04-19,1828.0
2014-01-30,2014-02-25,1319.0
2014-01-02,2014-06-13,1059.0
2014-01-28,2014-03-17,1276.0
2014-01-01,2014-05-06,1320.0
2014-01-15,2014-05-25,997.0
2014-01-01,2014-06-08,1386.0
2014-01-11,2014-06-23,814.0
2014-01-23,2014-05-17,1271.0
2014-01-25,2014-06-25,1481.0
2014-01-09,2014-06-21,1338.0
2014-01-29,2014-02-21,1251.0
2014-01-27,2014-06-11,1242.0
2014-01-08,2014-03-02,1178.0
2014-01-26,2014-03-03,1195.0
2014-01-16,2014-05-16,1181.0
2014-01-11,2014-06-29,1125.0
2014-01-17,2014-06-27,1361.0
2014-01-27,2014-05-20,1322.0
2014-01-12,2014-06-29,1060.0
2014-01-06,2014-05-12,1184.0
2014-01-09,2014-05-27,1334.0
2014-01-22,2014-06-18,1359.0
2014-01-06,2014-05-09,1356.0
2014-01-14,2014-05-14,1050.0
2014-01-17,2014-06-29,1127.0
2014-01-18,2014-06-20,1109.0
2014-01-11,2014-06-27,1391.0
2014-01-06,2014-06-28,1229.0
2014-01-20,2014-02-16,1152.0
2014-01-28,2014-06-14,1495.0
2014-01-19,2014-06-29,1168.0
2014-01-25,2014-05-18,1074.0
2014-01-18,2014-03-31,1482.0
2014-01-29,2014-05-05,1174.0
2014-01-18,2014-06-29,1187.0
2014-01-24,2014-06-28,1273.0
2014-01-24,2014-06-28,1440.0
2014-01-06,2014-05-22,1331.0
2014-01-18,2014-05-17,1392.0
2014-01-25,2014-06-30,1153.0
2014-01-28,2014-06-12,1523.0
2014-01-19,2014-06-29,862.0
2014-01-05,2014-04-30,988.0
2014-01-24,2014-03-26,1473.0
2014-01-01,2014-06-29,1069.0
2014-01-24,2014-04-16,1088.0
2014-01-26,2014-06-28,893.0
2014-01-26,2014-06-21,1348.0
2014-01-10,2014-05-26,1062.0
2014-01-20,2014-06-16,1576.0
2014-01-25,2014-06-26,1583.0
2014-01-01,2014-05-18,1158.0
2014-01-22,2014-05-16,889.0
2014-01-30,2014-05-04,1512.0
2014-01-11,2014-03-27,1369.0
2014-01-26,2014-06-21,1368.0
2014-01-04,2014-03-28,1103.0
2014-01-26,2014-03-03,1029.0
2014-01-24,2014-06-25,1098.0
2014-01-01,2014-06-01,1070.0
2014-01-03,2014-04-24,1103.0
2014-01-19,2014-05-19,1184.0
2014-01-17,2014-06-23,1078.0
2014-01-10,2014-06-26,1072.0
2014-01-11,2014-06-11,1528.0
2014-01-01,2014-04-06,948.0
2014-01-18,2014-06-27,1323.0
2014-01-24,2014-05-11,1298.0
2014-01-25,2014-06-22,1256.0
2014-01-31,2014-03-06,1432.0
2014-01-18,2014-06-22,1164.0
2014-01-27,2014-06-29,880.0
2014-01-31,2014-05-24,1071.0
2014-01-03,2014-03-28,1240.0
2014-01-30,2014-06-08,1283.0
2014-01-19,2014-06-29,1124.0
2014-01-21,2014-05-09,1096.0
2014-01-18,2014-05-10,1376.0
2014-01-15,2014-06-18,1070.0
2014-01-27,2014-03-16,1614.0
2014-01-03,2014-04-01,995.0
2014-01-30,2014-06-09,1306.0
2014-01-17,2014-03-10,1310.0
2014-01-16,2014-06-21,1142.0
2014-01-07,2014-06-23,1464.0
2014-01-30,2014-05-10,1260.0
2014-01-10,2014-05-31,1015.0
2014-01-16,2014-07-01,1338.0
2014-01-02,2014-06-28,1035.0
2014-01-21,2014-06-30,1084.0
2014-01-01,2014-05-25,1330.0
2014-01-30,2014-02-18,1315.0
2014-01-15,2014-05-11,854.0
2014-01-13,2014-03-19,930.0
2014-01-16,2014-07-01,1433.0
2014-01-26,2014-06-22,1241.0
2014-01-29,2014-06-18,1061.0
2014-01-05,2014-05-23,1140.0
2014-01-16,2014-02-21,1126.0
2014-01-26,2014-06-30,1259.0
2014-01-11,2014-07-01,1511.0
2014-01-25,2014-06-15,931.0
2014-01-26,2014-04-26,1003.0
2014-01-30,2014-06-04,926.0
2014-01-29,2014-06-21,1347.0
2014-01-18,2014-04-02,1084.0
2014-01-16,2014-05-25,1268.0
2014-01-20,2014-04-14,1108.0
2014-01-13,2014-04-02,1128.0
2014-01-18,2014-03-26,1227.0
2014-01-24,2014-06-22,1337.0
2014-01-25,2014-05-23,1125.0
2014-01-09,2014-06-25,1110.0
2014-01-10,2014-03-23,1226.0
2014-01-07,2014-06-30,1169.0
2014-01-06,2014-05-27,1443.0
2014-01-20,2014-06-22,1138.0
2014-01-08,2014-06-24,1340.0
2014-01-09,2014-06-29,1356.0
2014-01-19,2014-06-29,1460.0
2014-01-12,2014-04-11,1468.0
2014-01-01,2014-05-25,1231.0
2014-01-11,2014-03-24,1200.0
2014-01-13,2014-06-16,1153.0
2014-01-12,2014-04-04,1339.0
2014-01-23,2014-05-21,1472.0
2014-01-06,2014-06-22,1164.0
2014-01-25,2014-07-01,1409.0
2014-01-09,2014-05-26,1051.0
2014-01-20,2014-06-07,1152.0
2014-01-03,2014-06-17,938.0
2014-01-01,2014-06-27,1387.0
2014-01-11,2014-06-18,1247.0
2014-01-23,2014-05-17,1061.0
2014-01-22,2014-05-25,1271.0
2014-01-26,2014-06-21,1034.0
2014-01-15,2014-06-11,1147.0
2014-01-23,2014-06-21,1121.0
2014-01-07,2014-05-05,1104.0
2014-01-13,2014-03-20,1452.0
2014-01-22,2014-06-20,1364.0
2014-01-20,2014-03-25,994.0
2014-01-19,2014-05-16,953.0
2014-01-06,2014-05-31,1239.0
2014-01-30,2014-05-18,1046.0
2014-01-24,2014-06-22,1094.0
2014-01-03,2014-06-20,762.0
2014-01-15,2014-04-27,1053.0
2014-01-11,2014-03-19,1530.0
2014-01-27,2014-06-18,986.0
2014-01-24,2014-06-01,1142.0
2014-01-18,2014-06-29,1238.0
2014-01-01,2014-05-22,1197.0
2014-01-02,2014-06-30,1355.0
2014-01-26,2014-07-01,1170.0
2014-01-01,2014-06-25,1021.0
2014-01-05,2014-03-07,1306.0
2014-01-15,2014-06-30,1225.0
2014-01-10,2014-06-13,1120.0
2014-01-27,2014-02-21,1037.0
2014-01-14,2014-06-30,934.0
2014-01-26,2014-04-16,1173.0
2014-01-22,2014-04-20,957.0
2014-01-04,2014-06-28,1372.0
2014-01-14,2014-06-23,1195.0
2014-01-20,2014-06-22,949.0
2014-01-28,2014-06-06,957.0
2014-01-14,2014-06-04,1121.0
2014-01-20,2014-06-29,849.0
2014-01-10,2014-06-22,1370.0
2014-01-06,2014-06-09,1272.0
2014-01-05,2014-06-26,1402.0
2014-01-17,2014-06-29,1096.0
2014-01-01,2014-06-28,1154.0
2014-01-25,2014-05-26,1251.0
2014-01-09,2014-05-04,926.0
2014-01-28,2014-06-13,1251.0
2014-01-13,2014-02-20,1556.0
2014-01-10,2014-06-11,1134.0
2014-01-03,2014-06-04,1167.0
2014-01-17,2014-06-12,1359.0
2014-01-25,2014-04-06,1114.0
2014-01-27,2014-04-02,924.0
2014-01-11,2014-03-16,1219.0
2014-01-23,2014-06-25,1261.0
2014-01-04,2014-06-16,913.0
2014-01-28,2014-02-28,796.0
2014-01-07,2014-03-30,1580.0
2014-01-18,2014-04-09,1562.0
2014-01-11,2014-06-15,1108.0
2014-01-15,2014-06-27,882.0
2014-01-30,2014-06-29,1133.0
2014-01-02,2014-04-03,1206.0
2014-01-08,2014-06-27,1142.0
2014-01-30,2014-06-16,1192.0
2014-01-15,2014-02-28,878.0
2014-01-31,2014-03-21,1092.0
2014-01-27,2014-03-19,1402.0
2014-01-04,2014-06-17,783.0
2014-01-30,2014-04-12,1061.0
2014-01-02,2014-06-17,1579.0
2014-01-16,2014-03-06,1289.0
2014-01-25,2014-06-29,1174.0
2014-01-01,2014-05-24,1425.0
2014-01-18,2014-06-24,1118.0
2014-01-31,2014-05-10,1089.0
2014-01-30,2014-06-19,960.0
2014-01-30,2014-04-07,768.0
2014-01-26,2014-06-22,1465.0
2014-01-20,2014-04-05,1570.0
2014-01-18,2014-02-22,1134.0
2014-01-29,2014-03-12,1151.0
2014-01-14,2014-06-20,1447.0
2014-01-27,2014-06-29,1082.0
2014-01-14,2014-04-09,1063.0
2014-01-18,2014-03-19,1147.0
2014-01-08,2014-05-25,1246.0
2014-01-17,2014-05-28,1579.0
2014-01-11,2014-06-14,1213.0
2014-01-26,2014-02-28,938.0
2014-01-05,2014-06-27,1320.0
2014-01-13,2014-03-06,933.0
2014-01-16,2014-06-09,1366.0
2014-01-15,2014-06-15,1207.0
2014-01-19,2014-06-22,1225.0
2014-01-19,2014-03-16,1203.0
2014-01-25,2014-06-29,1234.0
2014-01-09,2014-04-18,1293.0
2014-01-19,2014-06-25,832.0
2014-01-10,2014-06-06,1147.0
2014-01-18,2014-03-09,947.0
2014-01-01,2014-03-16,1384.0
2014-01-24,2014-06-10,1293.0
2014-01-22,2014-05-19,770.0
2014-01-25,2014-06-21,1092.0
2014-01-25,2014-06-10,1427.0
2014-01-19,2014-06-29,1047.0
2014-01-24,2014-04-20,1256.0
2014-01-24,2014-06-16,1133.0
2014-01-18,2014-05-17,1111.0
2014-01-24,2014-04-02,1035.0
2014-01-11,2014-05-18,1369.0
2014-01-23,2014-05-03,1256.0
2014-01-26,2014-06-14,1348.0
2014-01-25,2014-04-05,1179.0
2014-01-05,2014-03-24,1317.0
2014-01-06,2014-06-26,1168.0
2014-01-28,2014-05-21,1222.0
2014-01-31,2014-06-20,1033.0
2014-01-17,2014-02-23,1211.0
2014-01-16,2014-06-20,1320.0
2014-01-18,2014-06-27,1012.0
2014-01-16,2014-06-20,1474.0
2014-01-06,2014-05-19,827.0
2014-01-07,2014-05-05,1299.0
2014-01-21,2014-03-30,1296.0
2014-01-11,2014-04-16,950.0
2014-01-11,2014-06-21,1174.0
2014-01-29,2014-06-25,1258.0
2014-01-11,2014-06-27,1494.0
2014-01-11,2014-06-15,1237.0
2014-01-04,2014-03-09,1251.0
2014-01-27,2014-06-29,1127.0
2014-01-21,2014-04-12,1176.0
2014-01-29,2014-06-07,1365.0
2014-01-31,2014-06-18,843.0
2014-01-14,2014-04-11,1031.0
2014-01-06,2014-06-15,1463.0
2014-01-17,2014-06-17,1267.0
2014-01-26,2014-05-25,1113.0
2014-01-18,2014-06-08,1167.0
2014-01-06,2014-05-28,1152.0
2014-01-11,2014-06-07,893.0
2014-01-17,2014-06-16,1243.0
2014-01-18,2014-05-03,1208.0
2014-01-24,2014-05-16,1473.0
2014-01-17,2014-06-30,1218.0
2014-01-31,2014-03-09,1033.0
2014-01-23,2014-04-29,1316.0
2014-01-20,2014-04-30,1049.0
2014-01-03,2014-02-28,1025.0
2014-01-29,2014-06-08,1103.0
2014-01-16,2014-04-27,1286.0
2014-01-02,2014-06-29,838.0
2014-01-30,2014-04-17,1367.0
2014-01-30,2014-05-01,1290.0
2014-01-07,2014-05-31,1509.0
2014-01-04,2014-05-31,1028.0
2014-01-30,2014-03-30,1117.0
2014-01-25,2014-03-15,893.0
2014-01-17,2014-06-29,1275.0
2014-01-18,2014-06-28,1512.0
2014-01-23,2014-03-06,1216.0
2014-01-14,2014-06-30,741.0
2014-01-24,2014-05-04,1308.0
2014-01-23,2014-06-19,778.0
2014-01-22,2014-05-15,1003.0
2014-01-30,2014-04-04,1141.0
2014-01-19,2014-03-22,1607.0
2014-01-31,2014-06-09,1308.0
2014-01-02,2014-06-29,1125.0
2014-01-27,2014-06-25,1454.0
2014-01-17,2014-04-05,1131.0
2014-01-03,2014-03-05,1443.0
2014-01-16,2014-06-27,1136.0
2014-01-20,2014-06-29,1016.0
2014-01-23,2014-03-28,1222.0
2014-01-01,2014-05-19,1328.0
2014-01-29,2014-06-07,1073.0
2014-01-19,2014-02-16,1142.0
2014-01-06,2014-07-01,1203.0
2014-01-18,2014-02-17,1307.0
2014-01-25,2014-06-01,1200.0
2014-01-29,2014-03-20,1385.0
2014-01-22,2014-06-25,983.0
2014-01-12,2014-06-29,1224.0
2014-01-08,2014-03-24,1339.0
2014-01-04,2014-06-21,1354.0
2014-01-11,2014-05-16,1207.0
2014-01-17,2014-03-01,978.0
2014-01-19,2014-06-11,1062.0
2014-01-25,2014-06-02,1218.0
2014-01-18,2014-06-28,1426.0
2014-01-04,2014-06-20,1060.0
2014-01-20,2014-06-21,833.0
2014-01-27,2014-05-30,1037.0
2014-01-21,2014-04-19,1394.0
2014-01-01,2014-03-27,1165.0
2014-01-05,2014-06-18,948.0
2014-01-07,2014-06-19,1430.0
2014-01-01,2014-04-25,934.0
2014-01-11,2014-04-04,1214.0
2014-01-13,2014-03-18,786.0
2014-01-22,2014-05-17,1189.0
2014-01-26,2014-06-04,1283.0
2014-01-31,2014-06-08,1147.0
2014-01-25,2014-04-05,1264.0
2014-01-10,2014-06-15,1298.0
2014-01-30,2014-04-28,1202.0
2014-01-03,2014-02-16,1274.0
2014-01-05,2014-06-08,1446.0
2014-01-12,2014-04-02,1191.0
2014-01-10,2014-07-01,1010.0
2014-01-04,2014-06-30,890.0
2014-01-11,2014-05-17,1047.0
2014-01-16,2014-04-15,868.0
2014-01-24,2014-05-17,1113.0
2014-01-07,2014-05-16,1869.0
2014-01-28,2014-07-01,1122.0
2014-01-17,2014-06-28,1040.0
2014-01-24,2014-04-20,1288.0
2014-01-18,2014-05-23,813.0
2014-01-29,2014-06-29,1248.0
2014-01-25,2014-06-29,1350.0
2014-01-25,2014-06-23,1467.0
2014-01-30,2014-06-30,1153.0
2014-01-18,2014-06-23,1238.0
2014-01-18,2014-06-23,1164.0
2014-01-31,2014-02-16,1188.0
2014-01-26,2014-04-06,1300.0
2014-01-02,2014-06-03,1412.0
2014-01-06,2014-06-25,995.0
2014-01-12,2014-03-07,1519.0
2014-01-10,2014-05-08,1101.0
2014-01-07,2014-05-19,1137.0
2014-01-24,2014-06-27,1142.0
2014-01-27,2014-06-23,1134.0
2014-01-10,2014-05-10,1217.0
2014-01-06,2014-06-14,1158.0
2014-01-19,2014-03-20,1102.0
2014-01-15,2014-04-13,799.0
2014-01-19,2014-02-17,1087.0
2014-01-11,2014-06-26,1254.0
2014-01-21,2014-03-07,1456.0
2014-01-09,2014-04-16,798.0
2014-01-24,2014-03-02,1087.0
2014-01-09,2014-06-27,1336.0
2014-01-11,2014-05-18,1256.0
2014-01-17,2014-06-19,1332.0
2014-01-07,2014-02-26,1109.0
2014-01-07,2014-05-25,1296.0
2014-01-26,2014-06-19,876.0
2014-01-25,2014-05-25,1362.0
2014-01-31,2014-06-30,1299.0
2014-01-14,2014-06-12,1389.0
2014-01-01,2014-06-22,1401.0
2014-01-20,2014-06-30,1292.0
2014-01-12,2014-06-21,975.0
2014-01-26,2014-04-05,650.0
2014-01-19,2014-02-20,1286.0
2014-01-23,2014-05-30,1292.0
2014-01-16,2014-06-28,871.0
2014-01-25,2014-03-25,1419.0
2014-01-31,2014-04-24,798.0
2014-01-10,2014-06-26,1252.0
2014-01-17,2014-05-18,1249.0
2014-01-19,2014-06-30,1064.0
2014-01-20,2014-06-30,1388.0
2014-01-13,2014-04-13,1320.0
2014-01-11,2014-04-17,1085.0
2014-01-02,2014-06-24,1207.0
2014-01-28,2014-03-31,962.0
2014-01-22,2014-06-02,1044.0
2014-01-13,2014-04-29,1022.0
2014-01-19,2014-03-15,1316.0
2014-01-27,2014-03-13,966.0
2014-01-15,2014-03-29,859.0
2014-01-05,2014-05-31,1133.0
2014-01-01,2014-05-20,910.0
2014-01-23,2014-06-27,1368.0
2014-01-06,2014-06-28,1048.0
2014-01-18,2014-06-24,1240.0
2014-01-14,2014-02-19,1098.0
2014-01-21,2014-06-15,903.0
2014-01-26,2014-05-29,667.0
2014-01-12,2014-03-05,1436.0
2014-01-26,2014-05-03,1224.0
2014-01-05,2014-06-30,771.0
2014-01-16,2014-06-27,927.0
2014-01-01,2014-03-16,1247.0
2014-01-28,2014-04-20,1368.0
2014-01-20,2014-03-22,1109.0
2014-01-29,2014-04-13,1109.0
2014-01-24,2014-06-29,1195.0
2014-01-20,2014-06-30,1406.0
2014-01-14,2014-04-25,1189.0
2014-01-24,2014-06-26,1301.0
2014-01-12,2014-05-31,1402.0
2014-01-26,2014-06-07,1252.0
2014-01-08,2014-04-15,1366.0
2014-01-16,2014-05-10,1129.0
2014-01-31,2014-06-01,976.0
2014-01-09,2014-03-16,1452.0
2014-01-18,2014-06-30,842.0
2014-01-02,2014-05-24,941.0
2014-01-18,2014-05-06,1403.0
2014-01-05,2014-03-14,1105.0
2014-01-27,2014-06-30,1321.0
2014-01-17,2014-05-21,1509.0
2014-01-29,2014-02-28,1115.0
2014-01-25,2014-02-28,1163.0
2014-01-29,2014-06-06,1220.0
2014-01-03,2014-06-18,1106.0
2014-01-18,2014-06-06,1149.0
2014-01-25,2014-06-08,1183.0
2014-01-27,2014-06-22,1149.0
2014-01-24,2014-06-14,1359.0
2014-01-11,2014-05-03,1025.0
2014-01-12,2014-05-17,1150.0
2014-01-24,2014-06-21,1134.0
2014-01-13,2014-05-11,1167.0
2014-01-07,2014-03-24,946.0
2014-01-10,2014-03-22,1316.0
2014-01-19,2014-02-17,1334.0
2014-01-31,2014-06-13,1163.0
2014-01-06,2014-06-01,1177.0
2014-01-30,2014-06-13,1338.0
2014-01-29,2014-05-21,1414.0
2014-01-25,2014-03-02,1431.0
2014-01-26,2014-05-21,1390.0
2014-01-11,2014-06-28,1379.0
2014-01-25,2014-06-02,1009.0
2014-01-05,2014-03-23,1529.0
2014-01-04,2014-03-23,1080.0
2014-01-20,2014-06-09,1333.0
2014-01-31,2014-06-30,1428.0
2014-01-28,2014-05-15,843.0
2014-01-30,2014-06-04,1218.0
2014-01-25,2014-04-20,1511.0
2014-01-19,2014-06-22,1463.0
2014-01-04,2014-05-30,1093.0
2014-01-19,2014-02-16,947.0
2014-01-06,2014-05-04,858.0
2014-01-13,2014-04-19,1168.0
2014-01-20,2014-05-25,1329.0
2014-01-18,2014-06-14,1228.0
2014-01-08,2014-03-14,1054.0
2014-01-15,2014-06-17,974.0
2014-01-07,2014-06-05,1318.0
2014-01-30,2014-05-06,1075.0
2014-01-16,2014-04-24,1175.0
2014-01-23,2014-06-23,1058.0
2014-01-14,2014-06-20,1371.0
2014-01-18,2014-06-28,1569.0
2014-01-23,2014-05-06,1371.0
2014-01-09,2014-06-16,1182.0
2014-01-14,2014-02-23,1319.0
2014-01-30,2014-06-14,989.0
2014-01-31,2014-06-21,1319.0
2014-01-06,2014-06-08,1354.0
2014-01-07,2014-06-02,1220.0
2014-01-13,2014-03-26,1298.0
2014-01-10,2014-06-15,1280.0
2014-01-14,2014-06-30,1255.0
2014-01-11,2014-06-29,1375.0
2014-01-18,2014-06-08,1156.0
2014-01-10,2014-06-08,1109.0
2014-01-04,2014-04-08,1237.0
2014-01-29,2014-04-28,1025.0
2014-01-30,2014-06-20,875.0
2014-01-30,2014-03-09,1229.0
2014-01-17,2014-04-12,919.0
2014-01-02,2014-04-29,1182.0
2014-01-13,2014-05-26,1359.0
2014-01-31,2014-05-15,1367.0
2014-01-06,2014-05-26,1256.0
2014-01-16,2014-04-17,1050.0
2014-01-11,2014-03-16,1230.0
2014-01-14,2014-07-01,1200.0
2014-01-27,2014-06-27,1026.0
2014-01-09,2014-05-08,1011.0
2014-01-01,2014-06-22,1034.0
2014-01-11,2014-04-05,1100.0
2014-01-17,2014-06-24,1644.0
2014-01-03,2014-05-23,1144.0
2014-01-10,2014-06-25,1360.0
2014-01-10,2014-06-25,1327.0
2014-01-01,2014-04-07,1003.0
2014-01-06,2014-05-21,1168.0
2014-01-23,2014-06-26,1296.0
2014-01-09,2014-06-16,1156.0
2014-01-29,2014-03-02,1218.0
2014-01-06,2014-04-21,1228.0
2014-01-10,2014-06-14,1379.0
2014-01-18,2014-06-14,1140.0
2014-01-31,2014-06-29,1175.0
2014-01-05,2014-06-08,1403.0
2014-01-17,2014-04-07,1210.0
2014-01-10,2014-04-11,902.0
2014-01-23,2014-05-21,941.0
2014-01-31,2014-05-17,1304.0
2014-01-10,2014-04-27,1173.0
2014-01-25,2014-04-12,1521.0
2014-01-19,2014-03-07,1335.0
2014-01-08,2014-04-11,1482.0
2014-01-16,2014-06-12,1353.0
2014-01-31,2014-05-25,1315.0
2014-01-21,2014-03-23,1323.0
2014-01-10,2014-06-23,1206.0
2014-01-17,2014-04-08,1278.0
2014-01-15,2014-06-30,1189.0
2014-01-24,2014-06-30,1389.0
2014-01-27,2014-06-28,947.0
2014-01-13,2014-06-12,1095.0
2014-01-29,2014-06-23,1262.0
2014-01-19,2014-03-03,949.0
2014-01-22,2014-06-18,1276.0
2014-01-28,2014-06-23,1107.0
2014-01-25,2014-06-12,1451.0
2014-01-29,2014-06-25,1307.0
2014-01-20,2014-03-26,1043.0
2014-01-28,2014-06-05,1281.0
2014-01-26,2014-06-13,796.0
2014-01-05,2014-03-06,1326.0
2014-01-03,2014-06-23,1413.0
2014-01-15,2014-06-04,1119.0
2014-01-18,2014-04-06,1013.0
2014-01-23,2014-05-31,1240.0
2014-01-01,2014-04-29,1245.0
2014-01-06,2014-06-28,1355.0
2014-01-06,2014-06-05,1203.0
2014-01-20,2014-06-04,1371.0
2014-01-03,2014-06-25,1583.0
2014-01-27,2014-06-07,1240.0
2014-01-27,2014-06-17,1219.0
2014-01-26,2014-05-22,1536.0
2014-01-10,2014-04-06,1249.0
2014-01-27,2014-03-06,634.0
2014-01-02,2014-02-23,986.0
2014-01-18,2014-06-29,1375.0
2014-01-17,2014-06-23,1234.0
2014-01-30,2014-04-03,1282.0
2014-01-04,2014-04-19,1109.0
2014-01-14,2014-06-14,1513.0
2014-01-29,2014-06-08,1236.0
2014-01-21,2014-06-26,1358.0
2014-01-12,2014-05-24,1326.0
2014-01-18,2014-04-19,1331.0
2014-01-31,2014-06-29,1301.0
2014-01-17,2014-06-15,1220.0
2014-01-25,2014-06-18,1475.0
2014-01-28,2014-04-11,970.0
2014-01-25,2014-07-01,1108.0
2014-01-23,2014-06-22,1187.0
2014-01-11,2014-05-17,1140.0
2014-01-29,2014-06-18,1007.0
2014-01-29,2014-05-21,1692.0
2014-01-30,2014-05-15,1180.0
2014-01-27,2014-06-19,1023.0
2014-01-25,2014-06-15,1493.0
2014-01-02,2014-05-20,1440.0
2014-01-22,2014-02-16,1079.0
2014-01-05,2014-07-01,1092.0
2014-01-18,2014-05-04,1400.0
2014-01-31,2014-02-22,918.0
2014-01-25,2014-05-20,1425.0
2014-01-18,2014-04-13,796.0
2014-01-07,2014-05-03,1171.0
2014-01-15,2014-06-30,1400.0
2014-01-01,2014-06-22,933.0
2014-01-22,2014-06-27,930.0
2014-01-31,2014-05-05,1368.0
2014-01-11,2014-06-26,1107.0
2014-01-28,2014-05-05,1568.0
2014-01-30,2014-03-11,1188.0
2014-01-28,2014-06-01,1492.0
2014-01-28,2014-06-15,1168.0
2014-01-17,2014-04-24,1320.0
2014-01-05,2014-05-24,1576.0
2014-01-22,2014-06-27,1150.0
2014-01-13,2014-02-28,1310.0
2014-01-12,2014-06-22,828.0
2014-01-25,2014-05-19,1304.0
